,file,particle,t_guide,t_time,t_serum_conc_percent,f_mean_diff_xy_micron,f_max_diff_xy_micron,f_var_diff_xy_micron,f_area_micron,f_perimeter_au_norm,f_min_dist_micron,f_var_dist_micron,f_Rvar_diff_xy_micron,f_Rvar_dist_micron,f_total_displacement,f_persistence,f_fastest_mask,f_min_dist_range,f_total_min_dist,f_most_central_mask,f_slope_min_dist_micron,f_slope_area_micron,f_slope_perimeter_au_norm,f_outliers2SD_diff_xy,f_outliers3SD_diff_xy
0,090621_guide_1398.sld_-_1398_10_t36,0,pl_1398_chr1,36,0.3,0.09233091686206896,0.252093269,0.0031339044079798776,246.96543857333327,14.234096624999998,5.128631164333334,0.011354832036286327,0.03394209127871595,0.002214008313807517,0.11255408885280044,0.04203549157299903,1,0.3732086560000001,-0.18262731300000024,1,-0.005201117472747502,-0.19543950678531705,-0.005481622102335924,2,0
1,090621_guide_1398.sld_-_1398_10_t36,1,pl_1398_chr1,36,0.3,0.0639632357586207,0.130207165,0.0013597448973101149,246.96543857333327,14.234096624999998,4.4316015877,0.0023421934414656004,0.021258225622628135,0.0005285207605228786,0.07683916140949108,0.041424206015759406,0,0.16739584900000004,-0.042711356000000755,0,-6.19925261401572e-05,-0.19543950678531705,-0.005481622102335924,0,0
2,090621_guide_1398.sld_-_1398_11_t39,0,pl_1398_chr1,39,0.3,0.055161886517241396,0.128751373,0.0008360776892928233,246.10708730666667,16.303874956,2.7843752725333335,0.009921025239941933,0.01515680014010215,0.003563106359192522,0.11210858079881236,0.07008123498070051,0,0.3643329869999996,0.1895080629999999,0,0.008132129842046715,0.11707701735261386,0.008191929027808676,1,0
3,090621_guide_1398.sld_-_1398_11_t39,1,pl_1398_chr1,39,0.3,0.06519418,0.173704851,0.0011842565037832365,246.10708730666667,16.303874956,3.7818968799,0.005750560708742297,0.018165064792336316,0.0015205493146323841,0.13744027540255996,0.0726954436955505,1,0.3236097990000002,0.06010725799999994,1,0.005965829045383758,0.11707701735261386,0.008191929027808676,1,1
4,090621_guide_1398.sld_-_1398_1_t0,0,pl_1398_chr1,0,10.0,0.07991031699999998,0.190508337,0.0016666063844116396,329.44920161,16.006331466333332,1.7951075498000002,0.009846248384288457,0.020855960118536885,0.005485046500631935,0.7156180254222547,0.3088022243141667,1,0.371302947,0.26488493600000007,0,0.008289551909232484,-0.11063908571746386,0.0075360866051167605,1,0
5,090621_guide_1398.sld_-_1398_1_t0,1,pl_1398_chr1,0,10.0,0.07600347896551723,0.122917742,0.0007482678659707098,329.44920161,16.006331466333332,4.583746279199999,0.0038366704229990402,0.009845179143841544,0.0008370163157609705,0.17721274670799755,0.08040137704767115,0,0.25707550899999987,-0.08907609300000008,1,-0.0003492274571746452,-0.11063908571746386,0.0075360866051167605,0,0
6,090621_guide_1398.sld_-_1398_2_t0,0,pl_1398_chr1,0,10.0,0.07505548827586207,0.173952276,0.0019304273903711126,589.9832631933333,21.07279780133333,4.7865296054,0.008043503485601849,0.02572000308992647,0.0016804457819559794,0.4069515653159887,0.1869658424647945,1,0.29817061199999984,-0.09165467599999921,0,-0.002906191138153498,-0.13986067688542847,-0.00011134076974413363,1,0
7,090621_guide_1398.sld_-_1398_2_t0,1,pl_1398_chr1,0,10.0,0.037893306758620696,0.084601502,0.00046499621162207237,589.9832631933333,21.07279780133333,5.054704848099999,0.0042077664831400765,0.012271196456516325,0.0008324455353158204,0.052076099344660495,0.047389043533405964,0,0.21182046299999957,-0.0432146720000004,1,-0.0003684679388209103,-0.13986067688542847,-0.00011134076974413363,2,0
8,090621_guide_1398.sld_-_1398_3_t0,0,pl_1398_chr1,0,10.0,0.06322596448275862,0.10639513,0.0008537747092293988,297.4888716066666,15.584240202666667,3.7159052003333333,0.006098413185005815,0.01350354583301325,0.0016411648995939832,0.16638898779783878,0.09074675808129981,0,0.2924747280000002,0.049380545,0,0.006924890764849834,0.033025476929921936,0.00039350540155728785,0,0
9,090621_guide_1398.sld_-_1398_3_t0,1,pl_1398_chr1,0,10.0,0.06987713037931034,0.207566071,0.002454878747650106,297.4888716066666,15.584240202666667,4.894254994166667,0.008445505293171928,0.03513136178209404,0.0017255956837634945,0.17894319356912736,0.08830435533292234,1,0.42556911500000005,0.071630678,1,-0.004820372147942157,0.033025476929921936,0.00039350540155728785,1,0
