,Unnamed: 0,file,particle,t_guide,t_time,t_serum_conc_percent,f_mean_diff_xy_micron,f_max_diff_xy_micron,f_var_diff_xy_micron,f_area_micron,f_perimeter_au_norm,f_min_dist_micron,f_var_dist_micron,f_Rvar_diff_xy_micron,f_Rvar_dist_micron,f_total_displacement,f_persistence,f_fastest_mask,f_min_dist_range,f_total_min_dist,f_most_central_mask,f_slope_min_dist_micron,f_slope_area_micron,f_slope_perimeter_au_norm,f_outliers2SD_diff_xy,f_outliers3SD_diff_xy,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
0,0,090621_guide_1398.sld_-_1398_10_t36,0,pl_1398_chr1,36,0.3,0.0923309168620689,0.252093269,0.0031339044079798,246.96543857333327,14.234096624999998,5.128631164333334,0.0113548320362863,0.0339420912787159,0.0022140083138075,0.1125540888528004,0.042035491572999,1,0.3732086560000001,-0.1826273130000002,1,-0.0052011174727475,-0.195439506785317,-0.0054816221023359,2,0,1.6030598344825597,-0.3898499997039403,-1.5181919247278042,-0.3972326475591886,0.034119447352266595,1.4308475869322312,-0.9298359883349779,-0.35931791124524365,0.10245948882708872,-0.056546120390834405,0.3556053320901169,0.05678288632627527,0.12473814031135616,-0.22954701031359215,0.26336499660485896,0.07512220966562462
1,1,090621_guide_1398.sld_-_1398_10_t36,1,pl_1398_chr1,36,0.3,0.0639632357586207,0.130207165,0.0013597448973101,246.96543857333327,14.234096624999998,4.4316015877,0.0023421934414656,0.0212582256226281,0.0005285207605228,0.076839161409491,0.0414242060157594,0,0.167395849,-0.0427113560000007,0,-6.19925261401572e-05,-0.195439506785317,-0.0054816221023359,0,0,-1.00143808711524,-0.6990822266335133,-0.8676666497295078,-0.5228417387536949,0.3192148030043309,0.9299295724914082,-0.839544352377532,-0.005917480076131029,0.2394966413539775,0.3645682790465353,0.05823556679192869,0.16027791020200213,0.19672618301214115,0.12678249838382719,0.1297421065179361,-0.2128806757857368
2,2,090621_guide_1398.sld_-_1398_11_t39,0,pl_1398_chr1,39,0.3,0.0551618865172413,0.128751373,0.0008360776892928,246.10708730666667,16.303874956,2.784375272533333,0.0099210252399419,0.0151568001401021,0.0035631063591925,0.1121085807988123,0.0700812349807005,0,0.3643329869999996,0.1895080629999999,0,0.0081321298420467,0.1170770173526138,0.0081919290278086,1,0,-0.8087318119836999,-1.3929539175154981,0.48158599925901874,-1.409451421351517,-0.765610455024271,-0.30407461788208645,0.7073747091939183,1.203585751130396,-0.4619296666378969,-0.09692660180821118,0.39041057577737187,-0.2305319726640736,0.07571969168196689,-0.27983170653741707,-0.1207151343826278,0.09145464511524333
3,3,090621_guide_1398.sld_-_1398_11_t39,1,pl_1398_chr1,39,0.3,0.06519418,0.173704851,0.0011842565037832,246.10708730666667,16.303874956,3.7818968799,0.0057505607087422,0.0181650647923363,0.0015205493146323,0.1374402754025599,0.0726954436955505,1,0.3236097990000002,0.0601072579999999,1,0.0059658290453837,0.1170770173526138,0.0081919290278086,1,1,-0.5995349791067656,-0.976295776998951,0.08302231324981392,-1.3493374338538706,-0.8420966213607053,0.13905499186053935,0.3074697939438075,0.18805330335491569,-0.35810836783922767,0.14726925305525468,0.48613890979267643,-0.32182054827185763,0.18778499931055534,-0.280319101818244,0.08859910780548677,0.22690013939409262
4,4,090621_guide_1398.sld_-_1398_1_t0,0,pl_1398_chr1,0,10.0,0.0799103169999999,0.190508337,0.0016666063844116,329.44920161,16.006331466333332,1.7951075498000002,0.0098462483842884,0.0208559601185368,0.0054850465006319,0.7156180254222547,0.3088022243141667,1,0.371302947,0.264884936,0,0.0082895519092324,-0.1106390857174638,0.0075360866051167,1,0,0.8772537275807907,-1.4951043247939566,3.775324421346307,1.124354076542983,-0.9400461006330607,-0.7984957177144155,0.7633579746740391,-0.23095942587431126,-0.4646567603615706,0.24989095733876251,-0.3804412742528372,0.2018165148283431,-0.020025273232699266,-0.1323096754408352,0.006573664812326415,0.1268607628794645
5,5,090621_guide_1398.sld_-_1398_1_t0,1,pl_1398_chr1,0,10.0,0.0760034789655172,0.122917742,0.0007482678659707,329.44920161,16.006331466333332,4.583746279199999,0.003836670422999,0.0098451791438415,0.0008370163157609,0.1772127467079975,0.0804013770476711,0,0.2570755089999998,-0.089076093,1,-0.0003492274571746,-0.1106390857174638,0.0075360866051167,0,0,-0.8618815150821122,0.07741427799416632,-0.5909591058022775,-0.10309539498917411,-0.5633337175271803,0.39234120246273346,-0.3669864453219766,-0.0770625351627133,-0.39200474114137734,0.5692417297582415,-0.16014234626608329,-0.3991380995294549,-0.13189937168832674,0.16470686088131897,-0.045295403414982366,-0.08684849891218985
6,6,090621_guide_1398.sld_-_1398_2_t0,0,pl_1398_chr1,0,10.0,0.075055488275862,0.173952276,0.0019304273903711,589.9832631933333,21.07279780133333,4.7865296054,0.0080435034856018,0.0257200030899264,0.0016804457819559,0.4069515653159887,0.1869658424647945,1,0.2981706119999998,-0.0916546759999992,0,-0.0029061911381534,-0.1398606768854284,-0.0001113407697441,1,0,0.7065195906099279,2.0546396033428076,0.9862255181296015,0.448221267330113,-0.3101523057767753,0.13201260821210387,0.22770012296917858,-0.7864638829218854,-0.00908654541854367,0.11928765741134219,-0.04707303138661016,0.49635084085312503,-0.05423476676607547,0.055843263414562895,0.04481375151192074,-0.09774128573702255
7,7,090621_guide_1398.sld_-_1398_2_t0,1,pl_1398_chr1,0,10.0,0.0378933067586206,0.084601502,0.000464996211622,589.9832631933333,21.07279780133333,5.054704848099999,0.00420776648314,0.0122711964565163,0.0008324455353158,0.0520760993446604,0.0473890435334059,0,0.2118204629999995,-0.0432146720000004,1,-0.0003684679388209,-0.1398606768854284,-0.0001113407697441,2,0,-1.5480514003775123,2.189237050173466,-0.3907716022910602,-0.7567105628310682,0.12453878049861779,0.19649909370053675,-0.01714822018807696,0.690815191681161,0.023094224990186984,0.26483018757444343,0.08353103734752415,0.3819063150207645,-0.1931662941502355,0.12684685889474884,-0.23275213725766877,0.058572825493663695
8,8,090621_guide_1398.sld_-_1398_3_t0,0,pl_1398_chr1,0,10.0,0.0632259644827586,0.10639513,0.0008537747092293,297.4888716066666,15.584240202666669,3.715905200333333,0.0060984131850058,0.0135035458330132,0.0016411648995939,0.1663889877978387,0.0907467580812998,0,0.2924747280000002,0.049380545,0,0.0069248907648498,0.0330254769299219,0.0003935054015572,0,0,-1.0870444206206737,-0.8310491209865424,0.3177456778497097,-0.8038614422085141,-0.5371389337124686,0.29645175508645244,0.4470643283072407,0.43010865728760467,-0.4401300443936437,0.3995770343049755,0.418140771248765,-0.1775104812476461,-0.10082542104362892,0.10877268968294646,-0.18660652430743777,-0.11651885804123044
9,9,090621_guide_1398.sld_-_1398_3_t0,1,pl_1398_chr1,0,10.0,0.0698771303793103,0.207566071,0.0024548787476501,297.4888716066666,15.584240202666669,4.894254994166667,0.0084455052931719,0.035131361782094,0.0017255956837634,0.1789431935691273,0.0883043553329223,1,0.425569115,0.071630678,1,-0.0048203721479421,0.0330254769299219,0.0003935054015572,1,0,0.9635103944636711,-0.36363553742303567,-0.4175830721909553,-0.8715867385730512,-0.738076160920371,0.9588863065435136,-0.02597499815709314,-0.27296106896446004,0.23621924336368552,-0.8791038236405327,-0.20830841015883028,0.4675878929991211,0.26387515073540374,-0.7742165165076428,-0.148542370691151,-0.011190657797883748
