,file,particle,t_guide,t_time,t_serum_conc_percent,f_mean_diff_xy_micron,f_max_diff_xy_micron,f_sum_diff_xy_micron,f_var_diff_xy_micron,f_area_micron,f_perimeter_au_norm,f_min_dist_micron,f_total_displacement,f_persistence,f_fastest_mask,f_min_dist_range,f_total_min_dist,f_most_central_mask,f_slope_min_dist_micron,f_slope_area_micron,f_slope_perimeter_au_norm,f_outliers2SD_diff_xy,f_outliers3SD_diff_xy
0,060521_guide_1521i.sld_-_1521_i1_t0,0,pl_1521_chr10,0,10.0,0.05300902324137931,0.09477789,1.537261674,0.0006450526313639303,321.3396560866667,17.022138542000004,5.098748186033332,0.19675191714450463,0.12798856594957603,0,0.15477354300000012,0.12967969199999985,1,0.0010458945822024459,0.01871438589543922,-0.00042400984649612394,0,0
1,060521_guide_1521i.sld_-_1521_i1_t0,1,pl_1521_chr10,0,10.0,0.08669331386206895,0.220580817,2.5141061019999995,0.003320939798838155,321.3396560866667,17.022138542000004,2.2267920782666666,0.4335425263550441,0.17244400544995145,1,0.2834519929999999,0.2132332899999998,0,0.006999315813570631,0.01871438589543922,-0.00042400984649612394,1,0
2,060521_guide_1521i.sld_-_1521_i1_t6,5,pl_1521_chr10,6,0.3,0.12643781832,0.312904189,3.1609454580000005,0.004725109861344853,376.0853201923077,18.079379505384615,3.1486712518076923,0.31967328454330646,0.101132173519239,1,0.5127201299999999,0.013909123999999995,1,0.005303709727494611,-0.6865786371461574,0.03703758577741942,1,0
3,060521_guide_1521i.sld_-_1521_i2_t0,3,pl_1521_chr10,0,10.0,0.07476200362068965,0.174772848,2.168098105,0.001804274960753782,355.61314677999997,16.95266602266667,1.898046624,0.050790081616223046,0.02342609935366511,1,0.2654642680000001,0.10676666299999993,1,0.004170133543047828,-0.03362641067853224,0.0013208360266963265,1,0
4,060521_guide_1521i.sld_-_1521_i2_t20,0,pl_1521_chr10,20,0.3,0.08537762313793103,0.225730539,2.475951071,0.004233008158804592,352.01154508999997,15.829222245666667,5.020386795433333,0.14024671321247695,0.05664357218328769,0,0.38544259100000033,-0.2503336960000002,0,-0.006115062045161286,-0.20430100549499466,-0.0017021397886540577,2,0
5,060521_guide_1521i.sld_-_1521_i2_t20,1,pl_1521_chr10,20,0.3,0.10839043917241378,0.246296011,3.1433227359999996,0.0035098016127549795,352.01154508999997,15.829222245666667,9.124846233366668,0.25935621447372575,0.0825102085456763,1,0.4852265970000005,-0.38909292399999984,1,-0.017042806544827597,-0.20430100549499466,-0.0017021397886540577,2,0
6,060521_guide_1521i.sld_-_1521_i3_t0,2,pl_1521_chr10,0,10.0,0.05628145134482759,0.122549662,1.6321620890000001,0.0009023662823868211,320.88397119999996,15.291724329333329,6.72770488566667,0.20256986400316337,0.1241113645319839,0,0.8767938509999995,-0.7937247620000001,1,-0.03131026659043382,-0.024937263448275456,0.0007656579666296107,1,0
7,060521_guide_1521i.sld_-_1521_i3_t0,4,pl_1521_chr10,0,10.0,0.11033522466666666,0.20318362,2.6480453919999998,0.0027858961624674635,320.898048524,15.287976469599993,2.52439017236,0.5180737092626367,0.1956438174465541,1,0.45044606600000003,-0.29732886700000005,0,-0.00444121920432173,-0.033838060900359554,0.00036707155822330825,0,0
8,060521_guide_1521i.sld_-_1521_i4_t0,4,pl_1521_chr10,0,10.0,0.051857620689655166,0.112744367,1.5038709999999997,0.0007518012937009245,310.5915259833333,15.825337269666669,3.8366223659333323,0.0980161200631311,0.06517588281383917,0,0.20240349900000032,0.028462741000000236,1,0.004545391702780871,0.09587805577308157,0.003954882062291452,2,0
9,060521_guide_1521i.sld_-_1521_i4_t0,6,pl_1521_chr10,0,10.0,0.09298499472413792,0.205381925,2.6965648469999994,0.0024872014068697103,310.5915259833333,15.825337269666669,0.9990882556333333,0.04797751239924908,0.017792085531570044,1,0.270266719,0.01569014599999996,0,0.0022079982124582863,0.09587805577308157,0.003954882062291452,1,0
